,1,2500
$Δ$t: 100.0ms,"(3, 1, 0, 1)","(2, -4, -5, -5)"
$Δ$t: 64.0ms,"(3, 1, 0, 1)","(3, -4, -5, -5)"
$Δ$t: 32.0ms,"(1, 0, 0, 0)","(4, -4, -6, -4)"
$Δ$t: 16.0ms,"(2, 0, 0, 0)","(4, -4, -6, -4)"
$Δ$t: 8.0ms,"(1, 0, 0, 0)","(5, -4, -6, -4)"
$Δ$t: 4.0ms,"(0, -1, -2, -2)","(5, -5, -7, -3)"
$Δ$t: 2.0ms,"(0, -2, -4, 0)","(6, -5, -7, -3)"
$Δ$t: 1.0ms,"(-5, -5, -5, -5)","(11, -7, -14, 0)"
$Δ$t: 0.1ms,"(-8, -8, -8, -8)","(3, 0, 0, 1)"
$Δ$t: 0.01ms,"(-8, -8, -8, -8)","(-1, -1, -1, -1)"
$Δ$t: 0.001ms,"(-125, -126, -126, -126)","(-127, -128, -128, -128)"
