,1,1k,2500,5k,7500,10k,12500,15k,17500,20k,1meg
$Δ$t: 100.0ms,"(1, 0, 0, 0)","(2, 0, 0, 0)","(0, 0, 0, 0)","(4, 4, 0, 3)","(-8, -9, -10, -10)","(-8, -10, -11, -11)","(-8, -10, -11, -11)","(-5, -7, -8, -8)","(-4, -7, -8, -8)","(-4, -7, -8, -8)","(-3, -8, -8, -8)"
$Δ$t: 64.0ms,"(4, 0, 0, 0)","(0, 0, 0, 0)","(1, 0, 0, 0)","(6, -7, -7, -7)","(2, -8, -8, -8)","(7, -11, -10, -10)","(5, -12, -11, -11)","(3, -8, -7, -7)","(3, -8, -7, -7)","(3, -8, -7, -7)","(6, -5, -5, -5)"
$Δ$t: 32.0ms,"(1, -1, 0, 0)","(0, 0, 0, 0)","(0, -7, -7, -7)","(21, -10, -9, -8)","(15, -11, -10, -10)","(16, -10, -9, -9)","(14, -11, -10, -10)","(9, -12, -11, -11)","(9, -12, -11, -11)","(9, -12, -11, -11)","(12, -3, -3, -1)"
$Δ$t: 16.0ms,"(1, 0, 0, 0)","(0, -1, 0, 0)","(13, -7, -7, -5)","(36, -6, -5, 6)","(28, -10, -9, -1)","(27, -11, -9, -1)","(27, -11, -9, -1)","(21, -10, -9, -6)","(21, -10, -9, -6)","(21, -10, -9, -6)","(15, -1, -2, 2)"
$Δ$t: 8.0ms,"(1, 0, 0, 0)","(-1, -2, -2, -2)","(20, -2, -5, 5)","(44, -1, -3, 14)","(39, -3, -3, 6)","(40, -3, -3, 6)","(38, -4, -4, 2)","(34, -8, -6, -1)","(34, -8, -6, -2)","(34, -8, -6, -2)","(27, -12, -9, -9)"
$Δ$t: 4.0ms,"(0, -1, -1, -1)","(1, 0, -1, 0)","(22, 0, -3, 7)","(45, -1, -4, 18)","(44, -2, -4, 15)","(45, -2, -3, 14)","(42, -1, -1, 6)","(40, -2, -2, 4)","(39, -3, -3, 3)","(39, -3, -3, 3)","(37, -5, -4, 0)"
$Δ$t: 2.0ms,"(0, 0, -1, 0)","(0, -4, -4, -4)","(22, 0, -3, 8)","(46, -1, -7, 23)","(46, -2, -6, 20)","(47, -2, -5, 19)","(42, -1, -1, 8)","(41, -2, -2, 6)","(40, -2, -2, 5)","(40, -2, -2, 5)","(40, -2, -2, 4)"
$Δ$t: 1.0ms,"(0, 0, 0, 0)","(0, -3, -3, -3)","(19, -1, -5, 5)","(47, -4, -11, 33)","(48, -2, -9, 30)","(48, -3, -9, 30)","(47, -2, -8, 26)","(47, -2, -8, 26)","(47, -2, -7, 24)","(47, -1, -7, 25)","(47, -1, -6, 23)"
$Δ$t: 0.1ms,"(0, -8, -8, -8)","(-3, -2, -2, -2)","(3, -2, -2, 0)","(11, -8, -7, -2)","(13, -7, -7, 0)","(4, -3, -3, -1)","(4, -3, -3, -1)","(10, -7, -7, -3)","(9, -7, -7, -4)","(9, -7, -7, -4)","(13, -6, -6, 0)"
$Δ$t: 0.01ms,"(-10, -10, -10, -10)","(-9, -9, -9, -9)","(0, -2, -2, -2)","(-11, -11, -11, -11)","(-10, -10, -10, -10)","(-10, -12, -12, -12)","(-10, -16, -16, -16)","(-10, -18, -18, -18)","(-10, -17, -17, -17)","(-10, -18, -18, -18)","(-13, -58, -58, -58)"
$Δ$t: 0.001ms,"(-138, -139, -139, -139)","(-138, -139, -139, -139)","(-137, -137, -137, -137)","(-137, -137, -137, -137)","(-136, -137, -137, -137)","(-136, -137, -137, -137)","(-135, -136, -136, -136)","(-137, -138, -138, -138)","(-136, -137, -137, -137)","(-136, -137, -137, -137)","(-135, -136, -136, -136)"
